,,Tibetan,,,,,,,,,,,,,,Northeast   Asia ,,,,,Southeast   Asia ,,,,South Asia,,,,,,West Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,80 ,243 ,415 ,203 ,82 ,134 ,90 ,50 ,53 ,850 ,331 ,635 ,168 ,,342,526,231,198,,210,210,106,,328,120,128,122,127,,120,333,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 1,D8S1179,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,"Oraon,India","Munda,India","Santal,India",Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.0000 ,0.0000 ,0.0000 ,0.0025 ,0.0061 ,0.0000 ,0.0000 ,0.0100 ,0.0000 ,0.0018 ,0.0015 ,0.0016 ,0.0000 ,,0.0037 ,0.0000 ,0.0000 ,0.0051 ,,0.0000 ,0.0000 ,0.0000 ,,0.0139 ,0.0080 ,0.0000 ,0.0000 ,0.0039 ,,0.0040 ,0.0150 ,0.0146 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0018 ,0.0015 ,0.0000 ,0.0000 ,,0.0000 ,0.0020 ,0.0020 ,0.0000 ,,0.0000 ,0.0050 ,0.0000 ,,0.0069 ,0.0000 ,0.0000 ,0.0000 ,0.0039 ,,0.0119 ,0.0060 ,0.0049 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,0.0813 ,0.0844 ,0.1169 ,0.0862 ,0.0976 ,0.0933 ,0.1500 ,0.0500 ,0.0943 ,0.1059 ,0.0906 ,0.1008 ,0.1131 ,,0.0960 ,0.1280 ,0.1520 ,0.0960 ,,0.1480 ,0.0950 ,0.0850 ,,0.1574 ,0.1500 ,0.1310 ,0.0820 ,0.1850 ,,0.1111 ,0.1170 ,0.0777 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,0.0125 ,0.0453 ,0.0229 ,0.0296 ,0.0122 ,0.0224 ,0.0500 ,0.0100 ,0.0094 ,0.0324 ,0.0196 ,0.0244 ,0.0595 ,,0.0768 ,0.1030 ,0.0840 ,0.0505 ,,0.1170 ,0.0880 ,0.1370 ,,0.0647 ,0.0420 ,0.0230 ,0.0490 ,0.0748 ,,0.0833 ,0.0520 ,0.1165 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,0.1625 ,0.1708 ,0.1446 ,0.1429 ,0.1280 ,0.0858 ,0.1111 ,0.1800 ,0.1604 ,0.1353 ,0.1752 ,0.1331 ,0.1310 ,,0.1271 ,0.1010 ,0.1800 ,0.1288 ,,0.1260 ,0.1050 ,0.0420 ,,0.0976 ,0.0920 ,0.0690 ,0.0980 ,0.0984 ,,0.1032 ,0.1060 ,0.1359 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,0.1938 ,0.2099 ,0.2265 ,0.2241 ,0.2622 ,0.2500 ,0.2500 ,0.2500 ,0.2925 ,0.2482 ,0.2390 ,0.2496 ,0.2411 ,,0.2194 ,0.2400 ,0.2190 ,0.2955 ,,0.1670 ,0.1760 ,0.2640 ,,0.1892 ,0.1080 ,0.1080 ,0.0980 ,0.1811 ,,0.2778 ,0.2730 ,0.2136 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,0.2188 ,0.1975 ,0.1867 ,0.2044 ,0.2195 ,0.2127 ,0.1944 ,0.2000 ,0.1698 ,0.2241 ,0.2054 ,0.2102 ,0.1964 ,,0.2148 ,0.2180 ,0.1600 ,0.1540 ,,0.1690 ,0.1900 ,0.1790 ,,0.1942 ,0.3080 ,0.2080 ,0.2210 ,0.2126 ,,0.2143 ,0.2330 ,0.1408 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,0.2000 ,0.1872 ,0.1867 ,0.1970 ,0.2012 ,0.1978 ,0.1500 ,0.2100 ,0.1509 ,0.1541 ,0.1647 ,0.1850 ,0.1786 ,,0.1691 ,0.1340 ,0.1410 ,0.1717 ,,0.1670 ,0.2070 ,0.1180 ,,0.2002 ,0.1750 ,0.3000 ,0.3110 ,0.1693 ,,0.1230 ,0.1380 ,0.2184 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
